Books of the Bible 18dec79b118b8083bbc3d6803f4532a9_all
BookName,OsisID,TotalChapters,Volume,Category,Author,Audience,Major Figures,Major Locations,Genre,Rollup,Verse(s)
Mark,Mark,16,NT,Gospel,Mark,"Gentile converts, Roman believers",Jesus,,,,
Luke,Luke,24,NT,Gospel,Luke,Gentile converts,Jesus,,,,
John,John,21,NT,Gospel,John,"Gentile converts, Jewish Christians","Jesus, Peter",,,,
Acts,Acts,28,NT,History,Luke,"Entire Church, Gentile converts, Theophilus",,,,,
Romans,Rom,16,NT,Paul's Letter,Paul,Church in Rome,,,,,
1 Corinthians,1Cor,16,NT,Paul's Letter,Paul,Church in Corinth,,,,,
2 Corinthians,2Cor,13,NT,Paul's Letter,Paul,Church in Corinth,,,,,
Galatians,Gal,6,NT,Paul's Letter,Paul,Church in Galatia,,,,,
Ephesians,Eph,6,NT,Paul's Letter,Paul,Church at Ephesus,,,,,"Husbands, love your wives, just as Christ also loved the church and gave himself for her. (https://www.notion.so/Husbands-love-your-wives-just-as-Christ-also-loved-the-church-and-gave-himself-for-her-182ec79b118b80818995cdf468ac094f?pvs=21)"
Philippians,Phil,4,NT,Paul's Letter,Paul,Church at Philippi,,,,,
Colossians,Col,4,NT,Paul's Letter,Paul,Church at Colossae,,,,,
1 Thessalonians,1Thess,5,NT,Paul's Letter,Paul,Church at Thessalonica,,,,,
2 Thessalonians,2Thess,3,NT,Paul's Letter,Paul,Church at Thessalonica,,,,,
1 Timothy,1Tim,6,NT,Paul's Letter,Paul,Timothy,,,,,
2 Timothy,2Tim,4,NT,Paul's Letter,Paul,Timothy,,,,,
Titus,Titus,3,NT,Paul's Letter,Paul,Titus,,,,,
Philemon,Phim,1,NT,Paul's Letter,Paul,"Apphia, Archippus, Philemon",,,,,
Hebrews,Heb,13,NT,General Letter,,"Church in Jerusalem, Jewish Christians",,,,,
James,Jas,5,NT,General Letter,James,Jewish Christians,,,,,
1 Peter,1Pet,5,NT,General Letter,Peter,Church in Asia Minor,,,,,
2 Peter,2Pet,3,NT,General Letter,Peter,Church in Asia Minor,,,,,
1 John,1John,5,NT,General Letter,John,Church in Asia Minor,,,,,
2 John,2John,1,NT,General Letter,John,Entire Church,,,,,
3 John,3John,1,NT,General Letter,John,Gaius,,,,,
Jude,Jude,1,NT,General Letter,Jude,Jewish Christians,,,,,
Revelation,Rev,22,NT,Revelation,John,Entire Church,,,,,"He will wipe every tear from their eyes. There will be no more death or mourning or crying or pain, for the old order of things has passed away. (https://www.notion.so/He-will-wipe-every-tear-from-their-eyes-There-will-be-no-more-death-or-mourning-or-crying-or-pain--188ec79b118b802dbd9bd3f5d2c9b8bc?pvs=21)"
